Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index
14,17600,44300,0,161,2010,22,0,0,0,1.16,37,49,16,51.6
14,2750,29500,12,54,5190,0,0,0,5,0.19,43,55,3,51.6
40,2350,65000,8,538,2480,9,0,1,0,1,35,56,62,51.5
5,9400,37100,4,496,2720,3,0,1,0,1,35,56,51,51.5
7,12300,32200,0,302,3640,3,0,1,0,1,35,55,36,51.5
2390,9050,44300,163,546,2660,3,53,0,0,1.71,46,54,12,50.7
12880,1571,36351,827,184,2267,4,320,0,1,1,46,54,12,50.7
10700,13100,32700,625,79,660,0,190,1,1,4.45,42,44,4,50.7
921,22000,43400,42,132,542,75,3,713,0,0.48,45,56,13,50.7
9350,229,53000,188,451,2720,228,28,0,0,71.75,30,55,5,50.7
6200,291,59400,218,492,10600,103,39,0,0,67.67,30,54,10,50.7
3060,257,69500,190,403,8930,68,47,0,0,73.2,29,56,14,50.7
7907,3564,24991,467,96,1765,2,249,0,0,1,29,56,14,50.7
5030,7140,54300,179,38,260,0,21,0,0,1.9,29,49,15,50.7
322,669,56400,181,614,466,170,15,173,0,0.63,45,51,2,50.7
152,21400,49300,254,64,1510,2250,908,4830,0,1,43,51,5,50.7
211,249900,62600,148,118,2300,751,103,3030,0,1,45,41,9,50.6
277,21500,46100,142,93,2090,802,59,3840,0,1,45,50,5,50.6
253,17300,43700,135,82,1870,57,734,3330,0,1,44,50,4,50.6
216,24300,48500,93,94,1890,578,36,2830,0,1,42,54,7,50.6
135,5091,48792,33,568,1301,3,5,0,1,0.12,47,66,3,50.3
0,219,56900,4,20,507,30,49,67,0,4.4,47,50,3,50
38,3127,16464,11,177,727,28,3,19,0,1,47,75,38,49.9
36,2950,63300,101,525,4080,193,35,0,127,0.37,40,53,6,49.2
30,316,54100,161,309,2710,248,28,0,20,0.57,40,55,4,49.2
52,387,68400,37,936,6130,8,21,0,138,0.82,44,56,4,49.1
30,413,19600,39,140,2690,17,48,0,158,0.15,46,56,7,49
24,455,21700,41,186,2790,10,65,0,162,0.17,44,52,3,48.9
21,425,33000,32,217,3030,9,47,0,160,0.13,42,53,4,48.5
59,645,56000,20,267,2300,9,15,0,136,0.21,42,52,4,48.5
104,1450,76500,37,357,3220,11,11,0,2,0.32,45,54,8,48.3
3,19700,67600,0,108,1480,10,0,0,17,1,43,53,28,48.2
40,24800,53300,9,84,919,17,12,0,88,1.68,39,51,4,48.2
35,1920,73500,6,202,1310,20,0,0,92.6,0.48,40,49,8,48.2
3,1900,81300,37,234,2800,10,102,0,123,0.44,41,47,6,48.2
0,693,50600,43,68,2770,4,91,0,180,1.15,44,52,10,48.2
28,9950,47300,16,245,1290,0,3,0,47.5,0.9,44,49,4,48.2
25,15500,50700,3,267,1180,0,0,0,27,1,43,43,4,48.2
25,508,54500,12,317,2750,4,14,0,0,0.65,45,56,4,48.2
23,888,74700,16,914,3420,5,6,0,63.7,0.14,43,47,7,48.2
9,10700,42300,2,308,1970,0,4,0,108,0.38,42,57,9,48.2
9,738,56000,10,294,1960,4,17,0,175,0.27,42,56,7,48.2
4,408,38700,22,105,1100,7,47,0,168,1.82,43,57,7,48.2
8,1060,55300,14,235,1850,6,22,0,113,0.21,42,56,3,48.2
7,376,54700,13,205,1780,4,15,0,162,0.29,43,55,4,48.2
7,425,50500,9,317,2690,4,15,0,165,0.32,41,55,8,48.2
7,15700,46800,2,373,3470,28,0,0,162,0.57,40,51,8,48.2
7,1990,58800,10,154,2210,4,18,0,144,0.3,40,50,1,48.2
6,3760,70200,17,277,2200,7,31,0,194,0.48,41,55,3,48.2
5,378,53100,16,231,2170,5,22,0,165,0.32,43,54,4,48.2
5,17400,53400,4,296,2750,7,0,0,164,0.52,41,55,10,48.2
5,22900,51800,0,149,826,10,0,0,12,0.21,40,49,10,48.2
5,20400,42200,0,148,820,17,0,0,142,1.02,38,52,9,48.2
4,57,31384,5,89,876,2,6,0,76,0.16,38,68,7,48.2
4,4740,73200,2,154,1910,8,0,0,7,1.55,40,52,15,48.2
4,20200,44700,0,194,2050,66,0,0,144,2.05,37,54,13,48.2
3,15400,46100,0,333,1240,18,0,0,0,1.49,38,35,14,48.2
3,20600,42000,0,118,906,18,0,0,127,0.89,37,57,6,48.2
3,395,47000,5,47,623,9,11,0,169,3.35,38,54,9,48.2
2,21500,47500,2,106,1040,3,0,0,123,0.28,42,54,4,48.2
2,14700,44200,2,297,1780,55,0,0,35,0.8,41,41,14,48.2
0,5640,71800,17,305,2200,6,41,0,4.4,0.23,42,55,6,48.2
0,21900,48300,2,39,1420,3,7,0,136,0.41,41,56,9,48.2
0,21200,44200,0,91,1520,0,0,0,136,0.32,43,50,2,48.2
0,25900,49700,0,22,399,0,0,0,120,0.86,39,50,4,48.2
0,22900,45300,0,66,553,0,0,0,155,0.37,43,53,5,48.2
0,21800,52500,3,78,2180,9,8,0,0,0.41,42,56,6,48.2
0,2220,58800,13,131,1520,4,22,0,173,0.55,42,52,4,48.2
0,944,58700,6,266,3530,8,11,0,153,0.35,40,56,4,48.2
0,27000,56600,0,47,480,0,0,0,11,1,43,51,4,48.2
0,21600,45800,0,204,2750,5,0,0,9,0.08,43,52,6,48.2
0,30800,58700,0,98,1740,4,0,0,6,0.17,44,53,4,48.2
0,21700,45600,0,198,2250,6,0,0,6,0.13,41,55,3,48.2
0,8380,30800,0,23,180,0,0,0,1,9.43,37,43,7,48.2
0,27300,55500,0,32,525,0,0,0,1,0.62,40,40,19,48.2
0,19300,45700,0,53,481,0,0,0,0,1.24,45,47,6,48.2
0,24800,45700,0,81,514,0,0,0,203,1.47,45,55,5,48.2
0,22000,44900,0,122,856,8,0,0,136,0.63,41,52,7,48.2
0,14300,65700,7,148,1960,3,13,0,0,0.41,37,51,2,48.2
18,17600,51700,4,231,1610,0,7,0,55,1,45,49,3,48.2
11,1140,63900,7,540,2980,47,0,0,60,8.44,36,50,36,48.2
16,7340,71000,5,548,3170,5,0,0,0,0.36,46,45,8,48.2
12,461,54500,3,69,2150,3,8,0,161,0.28,41,57,7,48.2
4,624,44500,36,232,2580,3,54,0,169,1.16,42,56,8,48.1
114,2359,31861,2,144,707,0,0,0,0,1,42,75,28,47.9
1450,13000,55800,157,278,3360,82,75,0,3,13.8,36,56,6,46.6
81,23790,64479,10,852,1371,0,0,0,5,0.06,47,74,4,45.3
67,5940,41600,14,930,4030,0,5,0,5,0.15,43,50,2,40
1230,239,71300,61,576,11300,28,24,0,0,0.95,34,53,12,38.6
54,1690,27100,8,554,3990,0,3,0,5,0.19,45,56,2,38.4
44,1735,41280,1,133,520,0,0,0,0,1,45,74,24,38.3
37,623,20300,21,888,3690,10,10,0,5,0.14,44,55,3,38.3
24,35700,85300,5,361,1570,0,0,0,0,0.09,40,55,7,38.3
24,1330,70800,12,771,2960,3,4,0,2,0.12,44,50,4,38.3
22,2820,53100,3,770,2390,3,0,0,11,0.37,43,43,5,38.3
20,2170,21300,6,307,1960,0,0,0,1,1.02,46,52,4,38.3
19,618,20200,15,184,586,2,4,0,0,0.36,47,47,3,38.3
8,10600,61600,23,226,4390,0,5,0,5,0.13,45,52,2,38.3
8,8710,71900,21,230,5050,0,4,0,10,0.2,43,55,3,38.3
7,4973,56032,21,200,4782,0,2,0,10,0.21,38,66,5,38.3
10,3350,51100,2,678,2360,0,0,0,5,0.24,44,56,4,38.3
9,909,32800,16,279,2820,0,3,0,5,0.12,45,49,3,38.3
7,8220,55800,18,236,2730,0,4,0,5,0.08,54,52,2,38.3
7,647,16900,8,152,528,0,0,0,5,0.11,45,47,3,38.3
7,1430,15400,4,221,268,0,0,0,5,1.58,46,48,2,38.3
7,2630,58800,2,784,1410,0,0,0,5,0.26,40,46,2,38.3
7,4520,22800,2,157,1080,0,0,0,5,1.55,46,49,7,38.3
6,8510,64300,13,291,2050,9,0,0,1,0.72,41,50,5,38.3
6,13300,36900,0,411,4160,0,0,0,0,1,41,52,55,38.3
6,6080,40900,5,893,2640,0,0,0,0,1,33,55,12,38.3
5,12300,70900,17,269,1880,3,5,0,5,0.12,45,48,2,38.3
5,12500,48400,3,534,3010,3,0,0,1,1,45,62,3,38.3
5,3686,57725,5,158,4331,6,1,0,5,1.41,39,49,19,38.3
5,15000,44400,0,230,399,0,0,0,0,0.71,48,57,4,38.3
4,279,20000,8,285,4230,0,4,0,2,0.22,44,55,3,38.3
4,13600,37500,3,443,5890,0,7,0,0,1,34,55,77,38.3
4,17000,56700,1,408,936,0,0,0,5,0.54,47,48,5,38.3
3,20500,44000,0,35,290,0,0,0,1,1,47,48,5,38.3
3,17400,56700,3,362,2230,4,0,0,1,1.02,44,48,3,38.3
3,2020,59600,6,1070,2950,0,0,0,5,0.39,42,51,3,38.3
3,22900,48000,0,201,2320,5,0,0,3,0.1,45,51,4,38.3
3,23700,49800,0,202,3290,8,0,0,2,0.1,46,56,4,38.3
3,21700,43200,0,129,1530,0,0,0,1,1.59,35,54,21,38.3
3,19500,42800,0,209,2650,30,0,0,0,0.78,40,43,23,38.3
3,18400,45000,0,128,1700,28,0,0,5,1.7,35,55,12,38.3
3,14900,56700,0,163,458,0,0,0,0,0.13,44,50,3,38.3
3,12000,35800,0,195,283,0,0,0,0,0.59,48,55,4,38.3
2,24978,76582,2,19,498,0,0,0,0,1,48,55,4,38.3
2,15900,51300,4,359,2250,0,0,0,0,0.23,43,49,3,38.3
2,24800,54600,3,216,3260,9,0,0,4,0.08,46,54,6,38.3
0,24600,50800,0,31,907,9,0,0,1,1.05,41,53,8,38.3
0,5010,51800,4,262,845,0,0,0,5,0.41,45,52,3,38.3
0,7520,38100,5,297,778,0,3,0,5,0.39,44,47,2,38.3
0,839,20700,4,458,2830,0,0,0,1,0.46,41,47,2,38.3
0,1565,9555,0,111,417,0,0,0,5,0.26,42,75,7,38.3
0,22200,47200,2,223,2650,10,0,0,4,0.25,45,55,6,38.3
0,21800,47300,0,249,2510,7,0,0,2,0.27,44,49,4,38.3
0,22900,49800,0,205,2190,5,0,0,2,0.09,50,50,5,38.3
0,26600,62500,2,209,2190,6,0,0,2,0.07,46,52,4,38.3
0,3300,12200,0,118,270,0,0,0,1,1,45,56,3,38.3
0,1850,61700,0,43,554,0,0,0,0,3.93,51,51,5,38.3
0,27200,58900,0,100,609,0,0,0,0,1.93,38,52,8,38.3
0,24400,47700,0,51,458,0,0,0,5,0.32,46,56,4,38.3
0,25200,50000,0,67,462,0,0,0,5,0.31,48,54,3,38.3
11,478,19400,11,196,1900,3,5,0,5,0.37,43,42,2,38.3
17,5680,59500,16,809,3590,11,0,0,5,0.35,42,50,3,38.3
12,15200,62800,4,413,4720,5,0,0,5,0.53,44,56,14,38.3
12,4350,65500,11,870,11100,16,8,0,5,0.5,41,56,10,38.3
178,4070,27300,144,672,2260,3,10,0,0,1,41,58,12,38.1
10,11900,55100,2,403,1140,6,0,2,0,1,41,30,23,38
4,5040,37600,4,597,1440,4,3,2,0,1,41,56,27,38
0,14908,42800,0,52,620,0,0,2,0,0.78,39,60,7,38
9,578,29200,35,267,1610,52,17,0,0,0.53,42,50,4,36.6
17,3960,36100,29,113,4420,3,5,0,5,0.15,45,54,2,36.4
14,2380,67400,78,372,1850,33,1850,0,0,5.56,36,43,27,33.6
478,9460,64700,21,54,323,0,4,0,0,1,36,43,27,31
14,514,70600,11,674,11700,13,5,1,0,0.62,42,45,21,28.1
13,12300,43400,0,309,908,0,0,0,0,1,42,47,26,26.7
13,6680,59700,2,236,857,0,0,0,0,0.12,42,57,4,26.7
13,283,60700,3,33,649,0,80,0,0,2.93,32,54,19,26.7
13,3430,16300,3,220,1280,0,0,0,1,1.07,46,53,3,26.7
13,309,55000,10,121,3340,15,71,0,0,1,31,58,43,26.7
14,1170,50900,4,72,1120,3,100,0,0,1,33,60,29,26.7
14,27000,56100,0,27,397,0,0,0,5,1,43,53,7,26.7
14,437,55000,2,20,645,0,44,0,0,2.37,32,53,33,26.7
14,248,44600,2,35,532,3,73,0,0,3.23,31,56,26,26.7
14,305,54800,2,35,517,0,60,0,0,2.95,32,57,23,26.7
14,2690,10300,3,155,735,0,0,0,0,0.28,47,54,2,26.7
5,7930,49900,5,709,2310,5,0,1,0,1,47,54,36,26.6
7,6150,19400,3,320,785,6,0,1,0,1,32,56,19,26.6
15,18300,52900,4,266,630,13,3,1,0,1,33,52,31,26.6
227,9987,37210,11,122,2942,8,26,0,1,2.54,38,52,20,26.6
114,7840,70100,2,258,1250,0,0,0,0,1,38,54,25,23
104,163,49800,5,40,579,17,274,0,0,1,32,53,24,22.5
91,571,44200,6,80,1860,8,168,0,0,10.1,32,30,31,21.9
91,24600,49400,5,31,420,0,6,0,1,6.16,41,41,9,21.9
89,189,57800,2,50,502,0,44,0,0,1,32,55,37,21.7
88,11300,52600,3,530,2640,0,0,0,0,1,32,58,56,21.6
79,667,54400,6,45,409,14,533,0,0,1,32,53,35,19.8
78,294,55700,3,132,892,4,121,0,0,2.34,32,57,11,19.5
73,1100,49947,10,253,2101,1,2,0,1,0.1,47,61,4,17.5
71,342,46100,8,133,2650,7,257,0,0,1,21,57,37,16.6
70,371,40100,1,12,1750,7,117,0,0,22,36,53,62,16.2
61,440,48800,4,98,909,3,117,0,0,1,32,53,15,13.9
61,1670,52600,4,98,591,0,52,0,0,1.86,33,56,11,13.9
59,587,20100,15,577,6140,5,5,0,5,0.15,45,54,4,13.8
59,1900,62400,3,68,704,3,109,0,0,2.08,32,47,13,13.8
59,1420,50000,3,90,766,0,97,0,0,1,31,55,20,13.8
58,896,55700,3,63,1040,2,86,0,0,2,33,56,28,13.7
58,177,30704,4,70,636,4,108,0,0,2.49,33,68,16,13.7
57,2470,53800,4,98,926,4,147,0,0,2.96,33,53,14,13.6
56,21110,59700,4,46,430,8,430,0,0,1,33,48,36,13.6
54,320,47000,2,222,1600,0,15,0,0,1,33,55,19,13.5
54,256,54600,3,112,780,0,127,0,0,2.87,33,52,18,13.5
54,281,44100,4,89,833,4,126,0,0,2.95,33,55,17,13.5
54,281,44100,4,89,833,4,126,0,0,1,33,55,17,13.5
52,1710,56300,3,87,934,5,82,0,0,1,30,58,51,13.5
52,645,71300,22,203,1760,5,51,0,0,1,40,42,5,13.5
52,322,39300,3,128,754,4,60,0,0,1,31,59,21,13.5
52,1550,58400,3,90,681,0,68,0,0,1,32,50,11,13.5
51,339,47800,2,53,344,0,217,0,0,2.78,30,44,33,13.4
50,205,55200,4,70,758,4,105,0,0,1,32,54,20,13.4
49,352,54600,4,87,1030,3,112,0,0,3.93,33,56,20,13.4
49,398,40800,2,58,710,3,85,0,0,1,37,57,20,13.4
48,245,58500,3,112,914,3,77,0,0,1,31,50,15,13.4
48,1330,58900,4,124,1010,3,79,0,0,5.35,30,55,16,13.4
48,71,21093,3,36,673,4,144,0,0,2.56,30,58,26,13.4
48,252,56800,2,62,651,0,112,0,0,3.04,33,54,16,13.4
48,289,57400,3,56,650,5,132,0,0,4.22,31,55,13,13.4
47,400,48200,4,74,621,0,57,0,0,1,32,54,20,13.4
47,366,44500,2,88,966,5,73,0,0,1,38,57,15,13.4
46,390,40200,3,127,827,4,54,0,0,1,35,59,13,13.4
46,227,46700,2,67,735,3,122,0,0,2.4,31,59,17,13.4
42,2580,64500,1,25,660,0,56,0,0,3.38,30,60,37,13.4
40,266,56300,4,86,1110,3,106,0,0,1,32,57,21,13.4
40,511,63600,3,95,2190,0,74,0,0,3.24,33,55,18,13.4
39,1860,57900,3,69,711,4,96,0,0,2.62,30,56,27,13.4
39,1060,50800,4,74,804,5,83,0,0,1,32,56,58,13.4
38,461,55900,4,126,3580,3,136,0,0,4.29,32,54,17,13.4
38,191,60800,2,49,350,0,150,0,0,1,33,53,22,13.4
37,224,49900,3,39,1030,8,51,0,0,1,31,59,29,13.4
37,44788,44090,5,313,1776,8,4,0,1,0.43,34,72,5,13.4
37,280,48100,3,43,535,2,78,0,0,1,32,56,15,13.4
37,493,48700,2,75,1190,0,62,0,0,1,32,60,24,13.4
36,247,54000,4,58,776,4,157,0,0,1,32,57,16,13.4
35,438,53300,3,50,547,0,44,0,0,2.59,33,55,13,13.4
35,302,39700,3,98,654,4,79,0,0,1,34,60,13,13.4
35,232,61400,3,78,766,0,91,0,0,2.75,30,50,12,13.4
35,336,51000,4,75,587,9,96,0,0,3.25,33,58,8,13.4
3,1480,13500,37,126,319,87,32,0,0,1,45,55,2,13.4
34,7200,51200,3,380,1680,0,0,0,0,1,45,75,25,13.4
34,394,43300,2,72,702,4,37,0,0,1,32,52,17,13.4
33,312,44100,4,88,738,0,91,0,0,1,33,56,8,13.4
33,2000,48700,2,53,486,0,184,0,0,2.97,30,49,47,13.4
32,7150,66200,4,666,6450,5,0,0,0,1,33,53,63,13.4
30,1310,49700,3,45,641,3,111,0,0,1,32,48,15,13.4
30,298,55400,4,105,920,3,83,0,0,1,32,58,18,13.4
30,302,56700,3,54,604,3,69,0,0,1,32,57,13,13.4
30,510,35200,2,46,691,0,70,0,0,1,38,60,25,13.4
30,466,41900,2,42,439,0,79,0,0,1,37,60,19,13.4
29,447,52700,6,84,766,13,270,0,0,2.83,33,53,20,13.4
29,277,44200,3,95,607,0,89,0,0,1.58,33,57,14,13.4
29,266,48500,2,74,725,4,78,0,0,1,32,60,43,13.4
29,396,52500,2,53,569,3,115,0,0,1,32,60,27,13.4
28,289,50300,5,157,787,3,51,0,0,1,32,59,31,13.4
27,489,60200,11,181,591,4,11,0,0,0.37,47,46,3,13.4
27,246,52900,3,66,725,0,122,0,0,2.83,33,55,11,13.4
26,4440,68800,7,89,784,6,302,0,0,2.5,33,57,23,13.4
26,321,48300,3,68,598,0,62,0,0,1,32,60,19,13.4
26,8500,51200,2,238,1150,0,3,0,1,1.02,47,44,7,13.4
25,1500,70400,9,482,2470,4,0,0,0,1,44,54,10,13.4
25,2060,50300,3,42,552,0,102,0,0,1,31,55,15,13.4
24,17200,41600,0,68,230,0,0,0,0,1,42,53,15,13.4
24,1970,64100,2,34,398,0,92,0,0,1,32,53,13,13.4
24,257,55700,2,47,495,4,105,0,0,3.17,31,56,15,13.4
24,2350,23200,4,332,2640,0,0,0,1,0.93,46,56,13,13.4
23,1690,60700,2,43,1380,3,76,0,0,1,30,60,62,13.4
23,505,58100,2,49,807,0,48,0,0,1,32,54,69,13.4
23,14800,40700,1,449,2720,3,0,0,0,1,32,57,89,13.4
23,6480,42100,5,530,1760,0,0,0,0,1,32,58,22,13.4
22,399,42600,7,100,2580,11,286,0,0,9.37,29,56,52,13.4
22,1220,49900,3,30,813,5,291,0,0,1,32,57,27,13.4
21,364,57700,3,40,967,3,68,0,0,1,34,60,15,13.4
21,6240,52400,3,788,4290,7,0,0,0,1,34,56,41,13.4
21,197,56700,5,44,1070,6,523,0,0,2.55,32,52,20,13.4
21,2710,5600,5,167,1260,3,0,0,0,0.6,51,51,10,13.4
21,243,48800,0,19,187,0,65,0,0,1,30,57,18,13.4
20,4530,53000,2,842,2750,0,0,0,5,0.24,45,53,4,13.4
20,17400,59600,4,395,999,16,4,0,0,1,32,46,31,13.4
20,14453,52582,7,66,568,2,1,0,0,0.33,46,73,5,13.4
19,3490,30000,1,374,728,0,0,0,1,0.81,48,53,5,13.4
4,893,69100,24,96,707,60,17,0,4,0.64,47,51,4,13.4
10,8010,36900,2,441,891,3,0,0,0,1,33,51,17,13.4
10,254,56500,4,71,1020,0,108,0,0,1,32,53,22,13.4
10,881,47800,2,54,1100,0,102,0,0,3.98,33,58,27,13.4
10,2060,6440,2,97,549,0,0,0,0,1,48,57,7,13.4
10,2740,53500,2,46,322,4,211,0,0,1,34,57,27,13.4
10,210,48900,7,44,1060,30,521,0,0,1,33,48,44,13.4
9,228,45900,2,44,515,0,128,0,0,1,32,48,72,13.4
9,13000,45000,2,526,2050,0,0,0,0,1,32,60,24,13.4
9,12000,45100,4,475,1570,0,0,0,0,1,32,54,12,13.4
9,2200,58100,6,432,7980,17,0,0,0,0.67,42,37,21,13.4
9,278,53900,2,34,1120,0,55,0,0,3.93,30,53,38,13.4
9,414,37700,2,34,843,5,278,0,0,1,31,58,39,13.4
9,2700,73600,4,238,5050,6,0,0,0,1.37,41,54,12,13.4
9,17000,53500,4,173,1370,3,0,0,0,1,44,54,5,13.4
9,2490,57000,2,42,351,3,184,0,0,2.61,32,49,66,13.4
8,1210,27000,3,166,454,0,43,0,0,1,32,55,18,13.4
8,5570,22800,2,323,989,0,0,0,0,1,32,38,24,13.4
8,8470,44500,3,318,569,12,0,0,0,1,32,51,18,13.4
8,12200,49200,6,646,3020,0,0,0,0,1,32,55,17,13.4
8,16200,52900,4,434,1890,0,0,0,0,1,32,53,14,13.4
8,8600,40900,4,580,1750,0,0,0,0,1,32,58,8,13.4
8,292,47300,3,39,1390,0,79,0,0,1,33,55,28,13.4
8,117,47900,2,20,491,0,75,0,0,2.18,33,53,15,13.4
8,352,26900,2,38,506,4,75,0,0,1,33,52,24,13.4
8,189,39923,1,37,698,3,78,0,0,3.14,33,71,41,13.4
8,634,49400,2,42,444,3,227,0,0,2.14,32,56,53,13.4
8,1140,55600,2,42,424,3,158,0,0,2.01,32,52,75,13.4
7,7290,34700,0,463,975,3,0,0,0,1,32,54,44,13.4
7,5860,28700,0,360,557,0,0,0,0,1,32,52,19,13.4
7,8570,38900,5,593,2360,0,0,0,0,1,32,57,42,13.4
7,10300,50500,6,725,2120,0,0,0,0,1,32,55,16,13.4
7,1160,46900,4,527,1530,0,0,0,0,1,32,57,13,13.4
7,420,63600,16,545,10600,7,5,0,1,1.11,45,39,16,13.4
7,339,43800,2,31,644,0,167,0,0,1,32,56,24,13.4
7,1200,51100,2,52,1340,0,67,0,0,3.83,28,54,24,13.4
7,492,9748,1,54,221,0,0,0,1,0.46,47,66,3,13.4
7,19100,46700,0,47,700,0,0,0,0,1,28,46,16,13.4
7,4560,43900,5,444,1580,4,0,0,0,1,40,56,29,13.4
6,4970,52300,5,587,4230,5,0,0,1,0.33,41,47,4,13.4
6,10200,41700,0,434,908,3,0,0,0,1,41,57,17,13.4
6,4570,22500,2,451,1500,0,0,0,0,1,32,57,31,13.4
6,10600,58100,2,575,1370,0,0,0,5,0.24,43,50,2,13.4
6,9550,49600,6,649,2960,0,0,0,0,1,43,48,14,13.4
6,7300,44400,7,788,3030,0,0,0,0,1,43,51,12,13.4
6,9960,53700,6,678,2220,0,0,0,0,1,43,55,10,13.4
6,6510,37400,4,529,1540,0,0,0,0,1,43,55,9,13.4
6,11800,44900,4,562,1670,0,0,0,0,1,43,54,12,13.4
6,5790,30900,5,705,2250,0,0,0,0,1,43,58,9,13.4
6,11600,44500,5,581,1870,0,0,0,0,1,32,57,11,13.4
6,177,55400,0,17,413,0,35,0,0,1,33,54,21,13.4
6,222,42000,2,36,311,0,175,0,0,1,34,56,22,13.4
5,6410,45800,3,465,2850,0,0,0,0,1,34,60,79,13.4
5,10800,43300,0,491,1140,3,0,0,0,1,34,53,21,13.4
5,17400,43000,0,258,1130,0,0,0,0,1,34,49,40,13.4
5,18200,66100,5,475,846,11,0,0,0,1,55,55,12,13.4
5,4460,33100,7,689,2410,0,0,0,0,1,55,54,12,13.4
5,10500,47300,7,696,2820,0,0,0,0,1,55,57,17,13.4
5,3860,29300,4,739,2030,0,0,0,0,1,33,59,11,13.4
5,8930,34900,5,466,1930,0,0,0,0,1,33,55,33,13.4
5,9880,41700,5,582,1720,0,0,0,0,1,33,52,13,13.4
5,7550,47400,5,746,24200,0,0,0,0,1,33,56,11,13.4
5,5300,39600,5,685,2090,0,0,0,0,1,32,58,13,13.4
5,15700,60200,10,507,5330,19,14,0,0,19.7,40,55,17,13.4
5,1210,54600,0,22,226,0,68,0,0,1,32,51,26,13.4
5,16100,53200,2,90,93,0,0,0,0,0.78,44,45,4,13.4
4,17000,72100,5,344,2380,3,0,0,1,0.86,44,55,3,13.4
4,22200,48400,0,82,499,0,0,0,0,1,36,44,10,13.4
4,18900,53900,4,152,825,0,0,0,0,0.57,33,54,2,13.4
4,6890,24800,0,322,825,0,0,0,0,1,33,55,18,13.4
4,4990,35200,7,760,2600,0,0,0,0,1,33,56,11,13.4
4,3910,24600,6,599,2310,0,0,0,0,1,33,52,14,13.4
4,4300,26200,6,656,2090,0,0,0,0,1,33,55,11,13.4
4,4690,27400,6,595,2130,0,0,0,0,1,33,55,8,13.4
4,9600,55200,7,785,2690,0,0,0,0,1,33,57,14,13.4
4,4070,30900,6,664,2440,0,0,0,0,1,33,57,11,13.4
4,4860,34500,4,735,2010,0,0,0,0,1,32,59,9,13.4
4,9660,22200,0,51,275,0,0,0,0,1,32,51,31,13.4
4,7917,72870,4,171,2499,9,1,0,0,0.26,48,68,7,13.4
4,19100,49000,2,92,736,0,0,0,0,0.17,43,48,4,13.4
4,10600,49300,1,364,2020,4,0,0,0,1,43,56,76,13.4
4,425,54300,3,68,508,0,99,0,0,1,33,49,48,13.4
4,19700,50400,0,69,188,0,0,0,0,1,46,55,5,13.4
3,8020,50100,6,569,3710,16,0,0,5,0.49,41,27,6,13.4
3,1940,53800,2,29,650,0,49,0,0,1,31,49,22,13.4
3,16900,45900,2,61,549,2,0,0,0,1,43,53,10,13.4
3,309,38500,2,39,791,3,99,0,0,1,33,54,183,13.4
3,3660,40100,4,669,1720,4,0,0,0,1,33,54,20,13.4
3,17600,50900,3,426,2480,0,0,0,0,1,33,59,40,13.4
